group,start,end,n_obs,dof,hac_lags,coefficient,estimate,se_hac,t_hac,ci_low,ci_high
rolling_16,2020-07-02,2024-07-02,16,9,2,alpha,-0.0036905688537544343,0.013442056039650157,-0.274553895837685,-0.030036998691468742,0.022655860983959875
rolling_16,2020-07-02,2024-07-02,16,9,2,Mkt-RF,1.019796059753881,0.12823230103936634,7.952723701345821,0.7684607497167231,1.2711313697910391
rolling_16,2020-07-02,2024-07-02,16,9,2,SMB,-0.08249543061963277,0.21302495313219982,-0.387257123668688,-0.5000243387587444,0.3350334775194789
rolling_16,2020-07-02,2024-07-02,16,9,2,HML,0.5912219962856806,0.32643607490316073,1.8111417264806602,-0.048592710524514415,1.2310367030958758
rolling_16,2020-07-02,2024-07-02,16,9,2,RMW,0.2386482684653965,0.25546809489271144,0.9341607552427291,-0.26206919752431795,0.739365734455111
rolling_16,2020-07-02,2024-07-02,16,9,2,CMA,-0.30478117367946,0.33017942998885313,-0.9230774118477018,-0.9519328564576122,0.34237050909869216
rolling_16,2020-07-02,2024-07-02,16,9,2,Mom,-0.005560154210301302,0.13537317679810434,-0.04107279109356885,-0.2708915807345858,0.25977127231398317
rolling_16,2020-10-02,2024-10-02,16,9,2,alpha,-0.004777460032472689,0.013795791470314019,-0.3462983651755607,-0.03181721131428816,0.022262291249342786
rolling_16,2020-10-02,2024-10-02,16,9,2,Mkt-RF,1.0107357580877045,0.1402624515994443,7.206032309873791,0.7358213529527937,1.2856501632226154
rolling_16,2020-10-02,2024-10-02,16,9,2,SMB,-0.10935856796224447,0.23195801710815633,-0.47145845323920516,-0.5639962814942309,0.34527914556974193
rolling_16,2020-10-02,2024-10-02,16,9,2,HML,0.6176455557388392,0.36051452516380267,1.7132334833338738,-0.08896291358221409,1.3242540250598924
rolling_16,2020-10-02,2024-10-02,16,9,2,RMW,0.23962944821025578,0.2642797461813485,0.9067264959677322,-0.27835885430518725,0.7576177507256988
rolling_16,2020-10-02,2024-10-02,16,9,2,CMA,-0.3177978274571992,0.3414674704178881,-0.9306825832290204,-0.9870740694762599,0.35147841456186146
rolling_16,2020-10-02,2024-10-02,16,9,2,Mom,-0.0343007839572102,0.1751079941548573,-0.19588359813473846,-0.3775124525007305,0.3089108845863101
rolling_16,2021-01-02,2025-01-02,16,9,2,alpha,0.000869091087018848,0.010922215778251414,0.07957095013169431,-0.02053845183835392,0.02227663401239162
rolling_16,2021-01-02,2025-01-02,16,9,2,Mkt-RF,1.0542780552916367,0.14019021247503474,7.5203399486920945,0.7795052388405685,1.3290508717427048
rolling_16,2021-01-02,2025-01-02,16,9,2,SMB,0.17619346102576672,0.21628899841699414,0.8146205415685301,-0.2477329758715418,0.6001198979230753
rolling_16,2021-01-02,2025-01-02,16,9,2,HML,0.4846148711997781,0.23548407958747858,2.0579517394497633,0.023066075208320103,0.9461636671912361
rolling_16,2021-01-02,2025-01-02,16,9,2,RMW,0.22684500442993538,0.24390075976048378,0.9300709216843049,-0.25120048470061285,0.7048904935604836
rolling_16,2021-01-02,2025-01-02,16,9,2,CMA,-0.18854813826789432,0.25136390712458906,-0.7501002845823845,-0.6812213962320889,0.3041251196963002
rolling_16,2021-01-02,2025-01-02,16,9,2,Mom,-0.04828987344625571,0.14608136556308754,-0.3305683326556868,-0.3346093499499073,0.23802960305739587
rolling_16,2021-04-02,2025-04-02,16,9,2,alpha,0.0003354310116923707,0.01026440769234541,0.03267904215676423,-0.019782808065304632,0.020453670088689372
rolling_16,2021-04-02,2025-04-02,16,9,2,Mkt-RF,1.015147708561405,0.13733910521900675,7.391541592925099,0.7459630623321517,1.2843323547906582
rolling_16,2021-04-02,2025-04-02,16,9,2,SMB,0.07361411761554326,0.1617059049504667,0.45523456696335574,-0.24332945608737144,0.39055769131845797
rolling_16,2021-04-02,2025-04-02,16,9,2,HML,0.3086332378764255,0.1600690905359222,1.9281251417316139,-0.005102179573982013,0.622368655326833
rolling_16,2021-04-02,2025-04-02,16,9,2,RMW,0.17002485508025972,0.29023569712335356,0.5858164821400215,-0.3988371112815133,0.7388868214420328
rolling_16,2021-04-02,2025-04-02,16,9,2,CMA,-0.06574393412573443,0.13600185498927872,-0.4834046868766396,-0.3323075699047207,0.20081970165325186
rolling_16,2021-04-02,2025-04-02,16,9,2,Mom,0.02817944659932703,0.13229386866260545,0.21300644454804057,-0.23111653597937964,0.2874754291780337
