symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
RRC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-23,2015-10-28,855,,,0
RRD,,,0,2000-01-03,2015-12-31,4025,,,0,2009-05-06,2015-11-05,998
RSG,1998-07-01,2015-12-31,4405,2000-01-03,2015-12-31,4025,2009-08-07,2015-10-30,1096,,,0
RSHCQ,,,0,,,0,,,0,,,0
RTN,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-23,2015-10-22,1147
RX,,,0,2000-01-03,2014-12-15,2716,,,0,,,0
RYAN,,,0,,,0,,,0,,,0
RYC,,,0,,,0,,,0,,,0
RYI,,,0,,,0,,,0,,,0
S,,,0,,,0,,,0,,,0
SAF,,,0,,,0,,,0,,,0
SAI,,,0,,,0,,,0,2010-09-03,2015-10-30,832
SANM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2011-02-08,2015-11-19,687
SAPE,,,0,2000-01-03,2015-02-05,3797,,,0,,,0
SB,,,0,,,0,,,0,,,0
SBL,,,0,2000-01-03,2007-01-09,1764,,,0,,,0
SBUX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-12,1240,,,0
SCG,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-04,2015-11-06,592
SCHW,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,821,,,0
SCI,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
SDS,,,0,2006-07-13,2015-12-31,2385,,,0,,,0
SE,,,0,,,0,,,0,,,0
SEBL,,,0,2000-01-03,2006-01-31,1528,,,0,,,0
SEE,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-11,2015-11-03,768
SEG,,,0,,,0,,,0,,,0
SFA,,,0,2000-01-03,2006-02-24,1545,,,0,,,0
SFS,,,0,,,0,,,0,,,0
SGID,,,0,2000-01-03,2006-10-16,1707,,,0,,,0
SGP,,,0,2009-11-20,2015-12-31,1124,,,0,,,0
SHLD,,,0,,,0,,,0,2010-08-20,2015-12-03,766
SHN,,,0,,,0,,,0,,,0
SHW,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-31,2015-10-29,1021,,,0
SIAL,,,0,2000-01-03,2015-11-18,3996,,,0,2009-08-03,2015-11-03,937
SIG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,3810,,,0,2010-08-27,2015-12-04,1059
SII,,,0,2009-08-11,2015-12-31,1007,,,0,,,0
SJM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-09-09,2015-12-04,805,,,0
SK,,,0,,,0,,,0,,,0
SLB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-29,2015-10-21,718,,,0
SLG,1997-08-15,2015-12-31,4625,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-09,651,,,0
SLM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2009-08-05,2015-10-21,650
SLR,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
SMI,,,0,,,0,,,0,,,0
SMS,,,0,2000-01-03,2013-10-10,1532,,,0,,,0
SNA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-28,2015-10-22,955,,,0
SNDK,,,0,,,0,,,0,,,0
SNI,,,0,2008-06-12,2015-12-31,1903,,,0,2010-08-09,2015-11-09,955
SNT,,,0,,,0,,,0,,,0
SNV,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-11-05,605
SO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-27,2015-11-05,663,,,0
SOTR,,,0,2000-01-03,2004-10-29,1213,,,0,,,0
SOV,,,0,2000-01-03,2015-12-31,4025,,,0,2011-08-12,2015-11-13,360
SPG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-04,2015-11-04,679,,,0
SPGI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-29,2015-11-04,1198,,,0
SPLS,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-25,2015-11-18,1010
SRCL,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-11-09,835
SRE,1998-06-29,2015-12-31,4407,2000-01-03,2015-12-31,4025,2009-07-31,2015-11-03,729,,,0
SRR,,,0,,,0,,,0,,,0
SSP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2011-08-09,2015-11-06,709
STI,,,0,,,0,,,0,,,0
STJ,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-12,2015-11-10,1120
STO,,,0,,,0,,,0,,,0
STR,,,0,,,0,,,0,2009-09-02,2015-11-05,1296
STT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-06,612,,,0
STX,2002-12-11,2015-12-31,3287,2002-12-11,2015-12-31,3287,2010-11-03,2015-10-30,681,,,0
STZ,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-10-12,2015-10-07,764,,,0
SUB,,,0,2008-11-07,2015-12-31,1798,,,0,,,0
SUN,,,0,2012-09-20,2015-12-31,825,,,0,,,0
SUNEQ,,,0,,,0,,,0,,,0
SVU,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-29,2015-10-21,888
SWK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-30,2015-10-27,1193,,,0
SWKS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-05-11,2015-11-24,842,,,0
SWN,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-20,2015-10-22,974
SWY,,,0,2000-01-03,2015-01-29,3792,,,0,2009-05-06,2015-03-04,1130
SXCL,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
SYF,2014-07-31,2015-12-31,359,2014-07-31,2015-12-31,359,2014-09-05,2015-10-30,121,,,0
SYK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-03,2015-10-23,1098,,,0
