year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2014,2014-06-30,ALXN,0000899866,cik:0000899866,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2012-05-25,2016-01-01,source_boundary,2834,False
2014,2014-06-30,AMAT,0000006951,cik:0000006951,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,0.00038945069249067505,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3674,False
2014,2014-06-30,AME,0001037868,cik:0001037868,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.987583296936269e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2013-09-23,2016-01-01,source_boundary,3621,False
2014,2014-06-30,AMGN,0000318154,cik:0000318154,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.388663013490721e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2836,False
2014,2014-06-30,AMP,0000820027,cik:0000820027,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.418689915846372e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2005-10-03,2016-01-01,source_boundary,6282,False
2014,2014-06-30,AMT,0001053507,cik:0001053507,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.6215171043509891e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-11-19,2016-01-01,source_boundary,6798,False
2014,2014-06-30,AMZN,0001018724,cik:0001018724,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.3386439907121516e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,2005-11-21,2016-01-01,source_boundary,5961,False
2014,2014-06-30,AN,0000350698,cik:0000350698,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,7.176587518586963e-08,False,yahoo,complete,accredited_entity_interval,tier_a,none,2003-02-24,2016-01-01,source_boundary,5500,False
2014,2014-06-30,ANDV,0000050104,cik:0000050104,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2007-09-27,2016-01-01,source_boundary,2911,False
2014,2014-06-30,AON,0000315293,cik:0000315293,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.4527184244306218e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-04-23,2016-01-01,source_boundary,6411,False
2014,2014-06-30,APA,,,,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.5390692108452342e-06,False,,identity_unresolved,legacy_symbol_unattributed,excluded,none,1997-07-28,2016-01-01,source_boundary,,False
2014,2014-06-30,APC,0000773910,cik:0000773910,confirmed_by_multiple_evidence,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1997-07-28,2016-01-01,source_boundary,1311,False
