symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
ABK,0000874501,Ambac Financial Group Inc,e9f279a869c5d07553a9908ed94f13d6e7181215c380d599d55dbe50a85aa70a,0001193125-12-470880,2012-11-14,https://www.sec.gov/Archives/edgar/data/874501/000119312512470880/abk-20120930.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,916f5e8385e382b65e4d102e1d3477dce17da792d80e8e163a2b464a724ea5a2,0001193125-13-032594,2013-01-31,https://www.sec.gov/Archives/edgar/data/23666/000119312513032594/hsh-20121229.xml,missing,False
DV,0000730464,DEVRY INC,ec50ba187374486bad06a2552cfde716f95d4814ce183c554b560f72e16e7a5f,0001193125-13-043140,2013-02-07,https://www.sec.gov/Archives/edgar/data/730464/000119312513043140/dv-20121231.xml,missing,False
SE,0001373835,SPECTRA ENERGY CORP.,bee57fbef8970820dd8a5ed39d862a95e714532d9303a27d12703284d92fc77d,0001193125-13-071704,2013-02-22,https://www.sec.gov/Archives/edgar/data/1373835/000119312513071704/se-20121231.xml,agrees,True
NE,0001458891,Noble Corp / Switzerland,2908e5e3bc873fd9c72227f6a39cdc451905b3bcbc945bf67a11b1d7d29e57a0,0001193125-13-074360,2013-02-25,https://www.sec.gov/Archives/edgar/data/1458891/000119312513074360/ne-20121231.xml,agrees,True
TE,0000350563,,88e3b64636e8b59d69e13fc05c1dea65b4dd1e96968f5018b26786afd0662cda,0001193125-13-075891,2013-02-26,https://www.sec.gov/Archives/edgar/data/350563/000119312513075891/te-20121231.xml,agrees,True
BEAM,0000789073,BEAM INC,c6e42962fcd2fe7f7a86c3bee25a293a4108f6bdf2c444cc8d88b33851a237ba,0001193125-13-076953,2013-02-26,https://www.sec.gov/Archives/edgar/data/789073/000119312513076953/beam-20121231.xml,agrees,True
LIFE,0001073431,Life Technologies Corp,899e02eb6f713bfd7bfbe62a7b68046721b99b80c9e5331599d757f9e53364e5,0001193125-13-080895,2013-02-28,https://www.sec.gov/Archives/edgar/data/1073431/000119312513080895/life-20121231.xml,agrees,True
ACT,0000884629,"ACTAVIS, INC.",51217c3a7f4e92de9b73208ddfca05c233b56e789fd938024cf7a2d7a5c930fa,0001193125-13-082059,2013-02-28,https://www.sec.gov/Archives/edgar/data/884629/000119312513082059/act-20121231.xml,agrees,False
YHOO,0001011006,YAHOO INC,720669ffb8746b9fd7ca5a261239626ce2f3fd920da42965a30634abc935c0a6,0001193125-13-085111,2013-03-01,https://www.sec.gov/Archives/edgar/data/1011006/000119312513085111/yhoo-20121231.xml,agrees,False
POM,0001135971,,c625a89905c60934db42086a96a73e6441e0c3f4f63a06d18e798477080f7cfb,0001193125-13-085461,2013-03-01,https://www.sec.gov/Archives/edgar/data/1135971/000119312513085461/pom-20121231.xml,agrees,True
WMIH,0000933136,WMI HOLDINGS CORP.,480c979ad3156fe9039e91ca6ece128b0d7e8e5043e26924381cfc964efe3783,0001193125-13-110149,2013-03-15,https://www.sec.gov/Archives/edgar/data/933136/000119312513110149/wmih-20121231.xml,missing,False
ABK,0000874501,AMBAC FINANCIAL GROUP INC,60b281df10235522fa817fb1385fd0da7cfdd31ac87069c2b1441cd9d0dfcc79,0001193125-13-122346,2013-03-22,https://www.sec.gov/Archives/edgar/data/874501/000119312513122346/abk-20121231.xml,missing,False
LIFE,0001073431,Life Technologies Corp,d047c97dcbb004fb1a31501c9b62099f39d54e339febf85393618afaa783a6df,0001193125-13-196249,2013-05-02,https://www.sec.gov/Archives/edgar/data/1073431/000119312513196249/life-20130331.xml,agrees,True
NE,0001458891,Noble Corp / Switzerland,236c83a1e7e61d86f71e6b0f4a52951a29559fa4be1ee048b5250bd729c7c417,0001193125-13-196465,2013-05-02,https://www.sec.gov/Archives/edgar/data/1458891/000119312513196465/ne-20130331.xml,agrees,True
POM,0001135971,,f3d1e0d25c939c8de960274601a65ba9f1c5334a7b7f0cd141897010504b3c9b,0001193125-13-196666,2013-05-03,https://www.sec.gov/Archives/edgar/data/1135971/000119312513196666/pom-20130331.xml,agrees,True
TE,0000350563,,a3884e23bb1d3d7c0b8bc819af36ca8ebebfae344565a635eb7f4863e0cf9454,0001193125-13-198105,2013-05-03,https://www.sec.gov/Archives/edgar/data/350563/000119312513198105/te-20130331.xml,agrees,True
BEAM,0000789073,BEAM INC,21724466c0340af7a8c58d942ef37478a58a1fc27a7815efa16367388ff4ef0f,0001193125-13-201838,2013-05-06,https://www.sec.gov/Archives/edgar/data/789073/000119312513201838/beam-20130331.xml,agrees,True
YHOO,0001011006,YAHOO INC,bfc4fe367e64d4c265ebca6b46ac5c4351c079182e429203a20bf5091307d4af,0001193125-13-202371,2013-05-07,https://www.sec.gov/Archives/edgar/data/1011006/000119312513202371/yhoo-20130331.xml,agrees,False
ACT,0000884629,"Actavis, Inc.",0f857afe5677fd0acaa9d6a254e4d0f99e5ebc2c7e74db881825f009a062fb25,0001193125-13-203130,2013-05-07,https://www.sec.gov/Archives/edgar/data/884629/000119312513203130/act-20130331.xml,agrees,False
SE,0001373835,SPECTRA ENERGY CORP.,03cc1fcad9de4fff8c4ddb309de45a8add06889fd62933123c00f6056f7e9372,0001193125-13-207725,2013-05-08,https://www.sec.gov/Archives/edgar/data/1373835/000119312513207725/se-20130331.xml,agrees,True
WMIH,0000933136,WMI HOLDINGS CORP.,e2d1aaa7d998915aaec0ca03bf5438b7748f148939823ae3eaed138b631e27b5,0001193125-13-214127,2013-05-10,https://www.sec.gov/Archives/edgar/data/933136/000119312513214127/wmih-20130331.xml,missing,False
AMBC,0000874501,AMBAC FINANCIAL GROUP INC,ce7cdba8ee6ab682e8d69fc483434279f012525469d0541f9a948fac5fee3b34,0001193125-13-222662,2013-05-15,https://www.sec.gov/Archives/edgar/data/874501/000119312513222662/ambc-20130331.xml,missing,False
SVU,0000095521,SUPERVALU INC,67fa3fd2072d0d31495267562a96b49f755b63f145f848cdca9396715b6d96e9,0001193125-13-299108,2013-07-24,https://www.sec.gov/Archives/edgar/data/95521/000119312513299108/svu-20130615.xml,missing,False
